country,pop,perc
Germany,83783942,0.317
United Kingdom,67886011,0.295
France,65273511,0.371
Italy,60461826,0.358
Spain,46754778,0.419
Poland,37846611,0.279
Romania,19237691,0.198
Netherlands,17134872,0.351
Belgium,11589623,0.424
Greece,10423054,0.217
Portugal,10196709,0.404
Sweden,10099265,0.476
Hungary,9660351,0.122
Austria,9006398,0.389
Serbia,8737371,0.376
Bulgaria,6948445,0.271
Denmark,5792202,0.397
Finland,5540720,0.465
Slovakia,5459642,0.207
Norway,5421241,0.408
Ireland,4937786,0.243
Croatia,4105267,0.199
Bosnia and Herzegovina,3280819,0.211
Albania,2877797,0.303
Lithuania,2722289,0.241
North Macedonia,2083374,0.4
Slovenia,2078938,0.221
Latvia,1886198,0.3
Estonia,1326535,0.287
Montenegro,628066,0.296
Luxembourg,625978,0.283
Malta,441543,0.149
Iceland,341243,0.381
Liechtenstein,38128,0.12
